drug_query,nct_id,brief_title,overall_status,start_date,completion_date,phase,study_type,enrollment,conditions,lead_sponsor
exenatide,NCT00799435,Evaluating the Use of Exenatide in People With Type 2 Diabetes and Diastolic Heart Failure,TERMINATED,,,PHASE4,INTERVENTIONAL,2,"Diabetes Mellitus, Type 2; Heart Failure, Diastolic",Baylor College of Medicine
exenatide,NCT00806520,Use of Continuous Glucose Monitoring Combined With Ambulatory Glucose Profiles to Characterize Glycemic Control,COMPLETED,,,,OBSERVATIONAL,16,Type 2 Diabetes,HealthPartners Institute
exenatide,NCT02560376,68Ga-NOTA-exendin-4 PET/CT for the Localization of Insulinoma and Diagnosis of Nesidioblastosis,UNKNOWN,,,EARLY_PHASE1,INTERVENTIONAL,100,Insulinoma; Nesidioblastosis,Peking Union Medical College Hospital
exenatide,NCT00044668,"Evaluation of the Effect on Glucose Control and Safety of AC2993 in Patients With Type 2 Diabetes Treated With Metformin, Sulfonylurea, or Metformin and Sulfonylurea Combination",COMPLETED,,,PHASE3,INTERVENTIONAL,155,"Diabetes Mellitus, Type 2",AstraZeneca
exenatide,NCT02157974,Liver and Fat Regulation in Overweight Adolescent Girls,COMPLETED,,,"PHASE2, PHASE3",INTERVENTIONAL,92,Hepatic Steatosis; Polycystic Ovarian Syndrome; Obesity,"University of Colorado, Denver"
exenatide,NCT00642538,A Study Designed to Determine the Safety and Pharmacological Response ofMKC253 Inhalation Powder in Adults With Type 2 Diabetes Mellitus,COMPLETED,,,PHASE1,INTERVENTIONAL,20,"Diabetes Mellitus, Type 2",Mannkind Corporation
exenatide,NCT02811484,"Efficacy of Exenatide-LAR and Dapagliflozin in Overweight/Obese, Insulin Treated Patients With Type 2 Diabetes",WITHDRAWN,,,PHASE4,INTERVENTIONAL,0,"Diabetes Mellitus, Type 2",Weill Medical College of Cornell University
exenatide,NCT01825148,GLP-1 Receptor Targeting in Diabetic and Healthy Individuals,COMPLETED,,,,OBSERVATIONAL,20,Type 1 Diabetes,Radboud University Medical Center
exenatide,NCT03331289,Can Exenatide Prevent Increase in EGP in Response to Dapagliflozin-induced Increase in Glucosuria,COMPLETED,2018-02-28,2022-11-04,PHASE4,INTERVENTIONAL,107,"Diabetes Mellitus, Type 2",The University of Texas Health Science Center at San Antonio
exenatide,NCT01270191,The Effects of Short-Term Exenatide Therapy in Newly Diagnosed Type 2 Diabetic Patients,UNKNOWN,,,PHASE4,INTERVENTIONAL,160,Type 2 Diabetes,"Taipei Veterans General Hospital, Taiwan"
exenatide,NCT00517283,A Study by Scintigraphy to Evaluate the Effect of Exenatide on Gastric Emptying in Subjects With Type 2 Diabetes,COMPLETED,,,PHASE1,INTERVENTIONAL,17,Type 2 Diabetes Mellitus,AstraZeneca
exenatide,NCT00434954,Effect of Exenatide Plus Metformin vs. Insulin Aspart Plus Metformin on Glycemic Control and Hypoglycemia in Patients With Type 2 Diabetes,COMPLETED,,,PHASE3,INTERVENTIONAL,494,Type 2 Diabetes Mellitus,AstraZeneca
exenatide,NCT02349802,Autoinjector Device Assessment Study,COMPLETED,,,PHASE1,INTERVENTIONAL,3052,Healthy Subjects,AstraZeneca
exenatide,NCT01524705,FLuctuATion Reduction With inSULin and Glp-1 Added togetheR (FLAT-SUGAR),COMPLETED,,,PHASE4,INTERVENTIONAL,102,Type 2 Diabetes,University of Washington
exenatide,NCT02084251,Clinical Trial for PB-119 in Healthy Subjects (Phase I),COMPLETED,,,PHASE1,INTERVENTIONAL,70,Type II Diabetes,"PegBio Co., Ltd."
exenatide,NCT00044694,Evaluation of the Effect on Glucose Control and the Safety and Tolerability of AC2993 in Patients With Type 2 Diabetes Mellitus,COMPLETED,,,PHASE2,INTERVENTIONAL,156,"Diabetes Mellitus, Non-Insulin-Dependent",AstraZeneca
exenatide,NCT03419624,The Potential of Dapagliflozin Plus Exenatide in Obese Insulin-resistant Patients,TERMINATED,2018-02-19,2019-08-05,PHASE3,INTERVENTIONAL,13,"Obesity; Diabetes Mellitus, Type 2",Universitätsklinikum Hamburg-Eppendorf
exenatide,NCT00111540,Study to Examine the Effect on Glucose Control and Safety/Tolerability of Exenatide Given Two Times a Day to Subjects With Type 2 Diabetes,COMPLETED,,,PHASE3,INTERVENTIONAL,456,"Diabetes Mellitus, Type 2",AstraZeneca
exenatide,NCT00948168,Effect of Exenatide on Glucose Homeostasis Determinants in Type 2 Diabetes,COMPLETED,,,PHASE4,INTERVENTIONAL,34,Type 2 Diabetes Mellitus,Cliniques universitaires Saint-Luc- Université Catholique de Louvain
exenatide,NCT05418907,Exendin PET/CT for Imaging of Paragangliomas,UNKNOWN,2022-06-01,2024-12-01,,OBSERVATIONAL,10,Paraganglioma,Radboud University Medical Center
exenatide,NCT02251431,Extended Release Exenatide Versus Placebo In Diabetic Patients With Type 4 Cardiorenal Syndrome,COMPLETED,,,PHASE3,INTERVENTIONAL,57,Type 2 Diabetes Mellitus; Chronic Kidney Disease; Left Ventricular Diastolic Dysfunction,Baylor Research Institute
exenatide,NCT01976858,A Phase I Study of 8-week Continuous Treatment With Polyethylene Glycol Loxenatide in Patients With Type 2 Diabetes,COMPLETED,,,PHASE1,INTERVENTIONAL,50,Type 2 Diabetes,"Jiangsu HengRui Medicine Co., Ltd."
exenatide,NCT01590433,Weight Loss With Exenatide Treatment,COMPLETED,,,PHASE4,INTERVENTIONAL,249,Obesity,Jody Dushay
exenatide,NCT02455076,Exenatide Inpatient Trial: A Randomized Controlled Pilot Trial on the Safety and Efficacy of Exenatide (Byetta®) Therapy for the Inpatient Management of Patients With Type 2 Diabetes,COMPLETED,,,PHASE4,INTERVENTIONAL,150,Type 2 Diabetes,Emory University
exenatide,NCT06883019,Lecanemab for Early Onset Familial Alzheimer's Disease,RECRUITING,2025-03-13,2027-08-31,,OBSERVATIONAL,114,Alzheimer Disease,RenJi Hospital
exenatide,NCT04303819,The Effect of Exenatide on Fasting Bile Acids,COMPLETED,2020-01-05,2020-01-31,,OBSERVATIONAL,38,Type 2 Diabetes Mellitus in Obese,Beijing Chao Yang Hospital
exenatide,NCT02417142,Exenatide Weekly Injections as an Adjunctive Treatment in Patients With Schizophrenia,COMPLETED,,,PHASE4,INTERVENTIONAL,70,Schizophrenia; Schizoaffective Disorder,"University of Massachusetts, Worcester"
exenatide,NCT04232969,Exenatide Once Weekly Over 2 Years as a Potential Disease Modifying Treatment for Parkinson's Disease,UNKNOWN,2020-01-20,2024-07-31,PHASE3,INTERVENTIONAL,194,Parkinson's Disease,"University College, London"
exenatide,NCT01021527,A Study to Assess the Effects of Exenatide on Insulin Secretion Rates Using a Graded Infusion of Intravenous Glucose (0000-099)(COMPLETED),COMPLETED,,,PHASE1,INTERVENTIONAL,12,Healthy,Merck Sharp & Dohme LLC
exenatide,NCT03645408,"The Effects of Exenatide, a GLP-1 Agonist, on Alcohol Self-Administration in Heavy Drinkers",TERMINATED,2019-05-02,2021-07-01,PHASE1,INTERVENTIONAL,8,Alcohol Use Disorder,Boston Medical Center
exenatide,NCT03917238,Beta Cell Imaging During and Shortly After the Honeymoon Phase of T1D,ACTIVE_NOT_RECRUITING,2019-10-11,2026-12-25,NA,INTERVENTIONAL,14,Type 1 Diabetes Mellitus,Radboud University Medical Center
exenatide,NCT05663515,A Pan-European Post-Authorisation Safety Study: Risk of Pancreatic Cancer Among Type 2 Diabetes Patients Who Initiated Exenatide as Compared With Those Who Initiated Other Non-Glucagon-Like Peptide 1 Receptor Agonists Based Glucose Lowering Drugs,RECRUITING,2024-09-30,2026-10-01,,OBSERVATIONAL,24000,Pancreatic Cancer,AstraZeneca
exenatide,NCT02432976,Impact of Perioperative Exenatide Infusion on Quality of Life in Cardiac Surgery Patients,COMPLETED,,,"PHASE2, PHASE3",INTERVENTIONAL,64,Quality of Life,Centre Hospitalier Universitaire de Besancon
exenatide,NCT01297062,A Safety Study to Assess the Effects of Therapeutic and Supratherapeutic Exenatide Concentrations on QT Interval in Healthy Subjects,COMPLETED,,,PHASE1,INTERVENTIONAL,94,Healthy Subjects,AstraZeneca
exenatide,NCT01269034,New Onset Type 1 Diabetes: Role of Exenatide,COMPLETED,,2017-01-31,PHASE4,INTERVENTIONAL,13,Type 1 Diabetes,Albert Einstein College of Medicine
